epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,26.9333,1.92793,0.93913,0.99674,2.22838,0.000236965,0.000236965,0.000236965
2,43.6302,0.50917,0.97717,1,2.12931,0.000427944,0.000427944,0.000427944
3,59.6422,0.38313,0.99022,1,2.10156,0.000571798,0.000571798,0.000571798
4,75.1465,0.27581,0.98696,1,2.09853,0.000501942,0.000501942,0.000501942
5,92.5453,0.26129,0.98804,1,2.09806,0.000431256,0.000431256,0.000431256
6,107.969,0.20363,0.99565,1,2.08567,0.00036057,0.00036057,0.00036057
7,124.639,0.18256,1,1,2.08116,0.000289884,0.000289884,0.000289884
8,140.41,0.14377,0.99783,1,2.0821,0.000219198,0.000219198,0.000219198
9,155.885,0.13089,1,1,2.08062,0.000148512,0.000148512,0.000148512
10,171.3,0.10829,1,1,2.07853,7.7826e-05,7.7826e-05,7.7826e-05
